Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
74522267,Zeeshan Lalla,Big Bazaar,2024-08-21,11710,Medium,Account Takeover,Gujarat,Amex,Yes Bank,0,76,Food Delivery,Delhi
26829430,Tarini Bedi,Tata Cliq,2024-09-21,24725,Low,Card Not Present,Karnataka,Amex,Kotak Bank,0,85,Transportation,Ahmedabad
76910814,Nehmat Upadhyay,Tata Cliq,2024-12-14,3192,Medium,Identity Theft,Kerala,Rupay,Bank of Baroda,1,31,Transportation,Lucknow
37342915,Rohan Sood,Uber,2024-06-13,950,Low,Card Skimming,Uttar Pradesh,Rupay,Axis Bank,0,88,Electronics,Jaipur
70649904,Jivika Singhal,Amazon India,2023-12-25,7021,Low,Phishing,Maharashtra,Amex,SBI,1,42,Electronics,Chennai
80346732,Adah Chaudhry,Reliance Digital,2024-08-23,7932,High,Card Skimming,Maharashtra,Mastercard,Bank of Baroda,1,39,Electronics,Kochi
39217230,Saksham Rastogi,Uber,2024-10-15,7249,Low,Phishing,Kerala,Visa,SBI,0,41,Apparel,Delhi
29894081,Veer Sridhar,Reliance Digital,2024-10-08,12194,High,Card Skimming,Karnataka,Visa,ICICI Bank,1,37,Electronics,Kochi
41533703,Kanav Chaudhary,Zomato,2024-07-10,24114,Medium,Card Not Present,Maharashtra,Amex,SBI,0,67,Food Delivery,Mumbai
50613866,Rasha Reddy,Big Bazaar,2024-09-10,2983,Critical,Card Skimming,Karnataka,Mastercard,Bank of Baroda,1,85,Electronics,Lucknow
74550146,Tiya Bir,Amazon India,2024-01-05,9673,Low,Account Takeover,Gujarat,Visa,Bank of Baroda,0,91,Food Delivery,Chennai
99502840,Urvi Ghose,Lifestyle,2024-07-25,8158,High,Identity Theft,Karnataka,Visa,Yes Bank,0,24,E-commerce,Lucknow
27654485,Yuvaan Sidhu,Lifestyle,2024-07-19,2375,High,Card Not Present,Maharashtra,Amex,HDFC Bank,0,83,Transportation,Lucknow
73074171,Ojas Shah,Zomato,2024-07-31,10950,Medium,Identity Theft,Gujarat,Visa,HDFC Bank,0,81,Apparel,Delhi
93774582,Tara Johal,Uber,2024-10-11,6527,Low,Identity Theft,Delhi,Mastercard,Federal Bank,0,90,Food Delivery,Mumbai
46788591,Diya Bajaj,Lifestyle,2024-04-28,9549,Medium,Card Skimming,Kerala,Mastercard,HDFC Bank,0,88,Groceries,Hyderabad
27824277,Faiyaz Cheema,Swiggy,2024-10-23,5461,Medium,Card Not Present,Delhi,Rupay,Axis Bank,0,48,Transportation,Mumbai
16938100,Aradhya Dhillon,Uber,2024-01-11,24489,Low,Identity Theft,Rajasthan,Rupay,Federal Bank,1,29,Transportation,Bangalore
66943130,Biju Sood,Lifestyle,2024-10-02,24680,Low,Identity Theft,Maharashtra,Mastercard,SBI,0,80,Food Delivery,Delhi
68375255,Alia Dugar,Myntra,2024-02-15,24578,Low,Card Not Present,Rajasthan,Visa,Federal Bank,0,35,E-commerce,Delhi
50941021,Oorja Borah,Amazon India,2024-12-12,11195,Medium,Account Takeover,Tamil Nadu,Mastercard,Andhra Bank,1,67,Groceries,Ahmedabad
60606372,Kanav Choudhary,Flipkart,2024-07-27,1714,Medium,Account Takeover,Tamil Nadu,Visa,Andhra Bank,1,71,Electronics,Hyderabad
32201823,Zaina Hegde,Flipkart,2024-11-14,14207,Low,Identity Theft,Telangana,Mastercard,Federal Bank,0,21,Transportation,Lucknow
53667574,Yakshit Handa,Zomato,2024-04-08,9803,Low,Card Not Present,Tamil Nadu,Mastercard,Bank of Baroda,0,90,Electronics,Chennai
80084680,Nehmat Sangha,Amazon India,2024-12-03,17897,Medium,Account Takeover,Delhi,Amex,Yes Bank,0,49,E-commerce,Chennai
18010953,Samarth Wason,Reliance Digital,2024-01-19,22366,Medium,Card Skimming,Tamil Nadu,Mastercard,Yes Bank,1,45,Groceries,Kolkata
39335891,Umang Soman,Flipkart,2024-08-15,4064,Medium,Phishing,Maharashtra,Rupay,Federal Bank,0,30,Groceries,Ahmedabad
83700642,Kartik Bose,Uber,2024-08-02,10336,Critical,Card Not Present,West Bengal,Amex,Kotak Bank,0,29,Electronics,Kolkata
54662150,Prerak Zacharia,Swiggy,2024-07-15,1569,Medium,Identity Theft,Gujarat,Rupay,ICICI Bank,0,70,Transportation,Hyderabad
45082504,Hiran Upadhyay,Tata Cliq,2024-02-13,23775,Medium,Identity Theft,Karnataka,Rupay,Yes Bank,0,64,Groceries,Mumbai
54121424,Mamooty Vyas,Zomato,2024-09-05,6711,High,Identity Theft,Telangana,Rupay,Axis Bank,0,80,Groceries,Kochi
72144690,Samar Tandon,Amazon India,2024-01-26,16974,Low,Card Skimming,Delhi,Amex,Axis Bank,0,50,Food Delivery,Chennai
52166999,Pari Behl,Lifestyle,2024-07-08,14653,High,Phishing,Maharashtra,Mastercard,SBI,0,45,Transportation,Chennai
50032908,Yakshit Saran,Lifestyle,2023-12-30,9248,Medium,Card Not Present,Tamil Nadu,Visa,Federal Bank,0,32,Electronics,Kochi
81281786,Drishya Ganesan,Zomato,2024-04-14,23122,Low,Card Skimming,Tamil Nadu,Visa,Federal Bank,0,94,E-commerce,Delhi
83454657,Misha Kashyap,Flipkart,2024-10-29,842,Medium,Card Skimming,Tamil Nadu,Mastercard,Bank of Baroda,0,26,Electronics,Hyderabad
17097793,Ranbir Shankar,Zomato,2024-11-13,5546,High,Identity Theft,Telangana,Rupay,Axis Bank,0,91,Apparel,Chennai
34894049,Onkar Deol,Lifestyle,2024-01-02,16758,Low,Card Not Present,Delhi,Mastercard,HDFC Bank,0,50,E-commerce,Delhi
84776733,Nakul Upadhyay,Big Bazaar,2024-09-16,4351,High,Card Not Present,Gujarat,Rupay,Yes Bank,1,70,Apparel,Jaipur
92240744,Tanya Shanker,Tata Cliq,2024-06-05,16904,High,Card Skimming,Rajasthan,Mastercard,Andhra Bank,1,10,Electronics,Chennai
67571367,Priyansh Sangha,Lifestyle,2024-03-22,19397,Low,Card Skimming,Kerala,Mastercard,Federal Bank,1,13,Transportation,Lucknow
53817550,Aniruddh Sem,Tata Cliq,2024-05-25,16870,Critical,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0,39,E-commerce,Hyderabad
36057699,Oorja Dhillon,Uber,2024-06-29,4014,Low,Card Not Present,Tamil Nadu,Visa,Kotak Bank,0,90,Apparel,Jaipur
90448570,Myra Baral,Swiggy,2024-08-05,20415,Low,Account Takeover,Uttar Pradesh,Visa,Federal Bank,0,11,Electronics,Jaipur
39560366,Raghav Goswami,Lifestyle,2023-12-16,14479,Medium,Card Not Present,Rajasthan,Mastercard,SBI,0,68,Apparel,Delhi
45163069,Jivin Shah,Lifestyle,2024-07-27,1603,Medium,Card Skimming,Rajasthan,Mastercard,Yes Bank,0,17,Transportation,Kolkata
24538975,Indranil Dar,Uber,2024-06-18,11770,Medium,Card Not Present,Kerala,Amex,Andhra Bank,0,32,E-commerce,Kolkata
65571276,Siya Mand,Flipkart,2024-07-27,3431,High,Card Skimming,Delhi,Mastercard,Federal Bank,0,85,Apparel,Chennai
58333520,Hridaan Lanka,Uber,2024-01-30,9612,Medium,Phishing,Maharashtra,Visa,Bank of Baroda,0,53,E-commerce,Ahmedabad
22921041,Devansh Dutta,Myntra,2024-09-12,23243,Low,Card Skimming,Rajasthan,Visa,SBI,0,65,Electronics,Kochi
66957487,Prisha Sani,Zomato,2024-10-11,23671,Medium,Identity Theft,Uttar Pradesh,Amex,Andhra Bank,0,79,Transportation,Jaipur
50449721,Anika Kaur,Amazon India,2024-03-16,5188,Medium,Identity Theft,Kerala,Amex,Yes Bank,1,14,Electronics,Delhi
75029599,Hrishita Mangal,Lifestyle,2024-11-06,11728,Low,Account Takeover,West Bengal,Mastercard,ICICI Bank,0,42,E-commerce,Lucknow
90805536,Urvi Gole,Flipkart,2024-05-20,1056,Low,Phishing,Delhi,Rupay,Kotak Bank,0,36,Transportation,Ahmedabad
84143515,Neysa Bir,Swiggy,2024-11-17,6783,Low,Card Not Present,Uttar Pradesh,Rupay,Andhra Bank,0,83,Electronics,Kolkata
81421351,Aaina Kanda,Tata Cliq,2024-08-22,19964,Low,Account Takeover,Gujarat,Rupay,ICICI Bank,0,11,Apparel,Bangalore
48347365,Mannat Krishnamurthy,Tata Cliq,2024-03-07,7131,High,Account Takeover,Gujarat,Rupay,SBI,0,63,Apparel,Delhi
32663828,Jivin Tripathi,Reliance Digital,2024-10-12,7525,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,0,48,Transportation,Ahmedabad
80937684,Samaira Sahni,Amazon India,2024-01-11,16351,Low,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0,94,Transportation,Mumbai
87301985,Kimaya Buch,Big Bazaar,2024-04-27,21512,Low,Card Skimming,Kerala,Rupay,HDFC Bank,0,35,Apparel,Lucknow
72182629,Samaira Goswami,Big Bazaar,2024-02-19,20170,Low,Account Takeover,Maharashtra,Rupay,HDFC Bank,0,39,Apparel,Jaipur
23733893,Samaira Bansal,Flipkart,2024-07-30,11347,Low,Card Not Present,Telangana,Rupay,Axis Bank,0,16,Transportation,Hyderabad
21412415,Riya Rajagopalan,Reliance Digital,2024-10-21,21657,Low,Account Takeover,Uttar Pradesh,Rupay,Axis Bank,0,14,Apparel,Bangalore
42755409,Alia Sani,Reliance Digital,2024-05-18,24075,Low,Identity Theft,Telangana,Mastercard,Yes Bank,0,19,Transportation,Bangalore
36099694,Divij Chatterjee,Flipkart,2024-06-18,14154,Critical,Account Takeover,Maharashtra,Mastercard,Yes Bank,0,81,Electronics,Lucknow
34550377,Kartik Khatri,Uber,2024-05-23,23336,Medium,Card Skimming,West Bengal,Rupay,Axis Bank,0,54,Apparel,Delhi
13995329,Mohanlal Vyas,Zomato,2024-04-07,3837,Medium,Account Takeover,Telangana,Mastercard,Andhra Bank,0,69,Apparel,Lucknow
22639242,Pari Bath,Lifestyle,2024-09-08,18705,Low,Card Not Present,Maharashtra,Rupay,Federal Bank,1,58,Food Delivery,Chennai
24287784,Ranbir Buch,Zomato,2023-12-29,22715,Medium,Phishing,Delhi,Rupay,Kotak Bank,0,75,E-commerce,Mumbai
38716212,Aniruddh Choudhury,Myntra,2024-09-23,2094,Critical,Account Takeover,Gujarat,Visa,Federal Bank,1,73,E-commerce,Kolkata
50152639,Divij Venkatesh,Tata Cliq,2023-12-29,24973,Low,Card Not Present,Telangana,Mastercard,Axis Bank,0,46,Electronics,Bangalore
10560987,Priyansh Sandal,Flipkart,2024-06-25,19521,High,Card Skimming,Kerala,Visa,Axis Bank,1,38,Transportation,Ahmedabad
62563619,Amani Tak,Lifestyle,2024-08-06,832,Medium,Card Not Present,Kerala,Rupay,SBI,0,46,Electronics,Bangalore
40409910,Dishani Acharya,Myntra,2024-03-31,1695,Low,Card Not Present,Delhi,Visa,HDFC Bank,1,55,E-commerce,Jaipur
10117276,Vivaan Agrawal,Zomato,2024-11-06,6908,Low,Card Not Present,West Bengal,Amex,Andhra Bank,0,38,Food Delivery,Kolkata
75147301,Anvi Srinivasan,Lifestyle,2024-11-02,9688,High,Phishing,Delhi,Amex,Andhra Bank,0,18,E-commerce,Ahmedabad
53631628,Biju Chopra,Tata Cliq,2024-04-02,20610,Medium,Card Skimming,Maharashtra,Mastercard,ICICI Bank,0,45,Apparel,Ahmedabad
95200804,Saira Ganguly,Zomato,2024-07-01,2790,Medium,Card Not Present,Kerala,Rupay,HDFC Bank,0,61,Food Delivery,Delhi
89200981,Navya Randhawa,Tata Cliq,2024-12-08,2861,Critical,Phishing,Gujarat,Mastercard,SBI,0,25,Apparel,Bangalore
15784540,Ritvik Jha,Swiggy,2024-02-10,3776,Low,Card Skimming,Uttar Pradesh,Amex,Bank of Baroda,1,69,Electronics,Kolkata
65154221,Rohan Devi,Amazon India,2024-01-06,2760,Low,Card Skimming,Kerala,Visa,ICICI Bank,0,39,Apparel,Bangalore
87824397,Mohanlal Bhat,Swiggy,2024-06-12,18868,Low,Account Takeover,Tamil Nadu,Amex,Kotak Bank,0,18,Groceries,Delhi
21065610,Prerak Shan,Uber,2024-06-08,7764,Critical,Identity Theft,Uttar Pradesh,Mastercard,Andhra Bank,0,28,Apparel,Hyderabad
23921117,Adah Vyas,Flipkart,2024-01-06,18020,Low,Card Not Present,Kerala,Mastercard,Yes Bank,0,80,Electronics,Bangalore
22421404,Gokul Mani,Lifestyle,2024-09-03,4965,Medium,Card Skimming,Karnataka,Rupay,Federal Bank,1,22,Electronics,Ahmedabad
84552344,Lakshay Loyal,Big Bazaar,2024-04-10,13733,Critical,Card Not Present,Telangana,Rupay,Federal Bank,1,78,Apparel,Mumbai
78149926,Keya Chanda,Reliance Digital,2024-03-13,20336,High,Card Not Present,Rajasthan,Rupay,Bank of Baroda,0,19,Apparel,Jaipur
61148006,Tanya Bansal,Amazon India,2024-06-09,16906,Critical,Phishing,Uttar Pradesh,Amex,Yes Bank,0,33,Apparel,Jaipur
34034948,Indranil Sura,Reliance Digital,2024-01-11,8161,Medium,Account Takeover,Karnataka,Amex,SBI,0,61,Transportation,Chennai
62554708,Mannat Mandal,Lifestyle,2024-08-22,22728,Critical,Identity Theft,Kerala,Amex,SBI,0,20,Transportation,Bangalore
47813903,Sumer Lall,Flipkart,2024-10-22,10680,High,Account Takeover,Uttar Pradesh,Amex,Andhra Bank,0,15,Electronics,Hyderabad
58961246,Armaan Sha,Reliance Digital,2024-10-26,20904,Low,Phishing,Karnataka,Visa,Kotak Bank,0,90,Food Delivery,Kochi
42445507,Vardaniya Lad,Reliance Digital,2024-02-08,1295,High,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1,80,Electronics,Lucknow
69187765,Onkar Bora,Big Bazaar,2024-04-16,23512,Low,Account Takeover,West Bengal,Rupay,Axis Bank,0,26,Groceries,Kochi
99192536,Fateh Wali,Lifestyle,2024-07-28,24736,Medium,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1,56,E-commerce,Kolkata
10149344,Saira Dhillon,Zomato,2024-07-11,5543,Low,Identity Theft,Gujarat,Rupay,HDFC Bank,0,72,Transportation,Chennai
82127371,Anay Dara,Amazon India,2024-10-01,13102,Low,Phishing,Delhi,Mastercard,Federal Bank,1,95,Groceries,Bangalore
74082692,Sana Manne,Lifestyle,2024-05-09,11335,Critical,Card Skimming,Maharashtra,Rupay,Axis Bank,0,28,Transportation,Kochi
93730832,Yuvraj  Suri,Tata Cliq,2024-10-13,20131,Low,Phishing,Karnataka,Amex,Federal Bank,1,75,E-commerce,Hyderabad
27315999,Aarush Chaudhary,Reliance Digital,2024-08-17,12332,Low,Account Takeover,West Bengal,Rupay,ICICI Bank,0,45,E-commerce,Kochi
50880858,Rasha Uppal,Reliance Digital,2024-10-02,14191,High,Card Skimming,Maharashtra,Rupay,Axis Bank,0,67,Electronics,Bangalore
91232868,Jivika Bhatia,Zomato,2024-12-03,8956,High,Identity Theft,Maharashtra,Mastercard,Axis Bank,0,30,Electronics,Kolkata
37845729,Eva Maharaj,Reliance Digital,2024-04-17,17448,Low,Card Skimming,Rajasthan,Visa,Axis Bank,1,95,Apparel,Chennai
64308049,Zoya Borra,Amazon India,2024-09-01,10110,Medium,Card Skimming,Tamil Nadu,Mastercard,Kotak Bank,0,63,Food Delivery,Ahmedabad
37400867,Ira Mander,Lifestyle,2024-08-05,1711,Low,Phishing,Uttar Pradesh,Mastercard,Kotak Bank,0,19,Groceries,Kolkata
87852293,Aniruddh Chander,Flipkart,2024-05-02,9742,Low,Identity Theft,Tamil Nadu,Rupay,Yes Bank,0,31,Food Delivery,Jaipur
18250402,Devansh Rattan,Zomato,2024-04-07,13965,Low,Identity Theft,Karnataka,Mastercard,Kotak Bank,0,71,E-commerce,Kochi
85509756,Aradhya Bahri,Uber,2024-10-07,9632,Medium,Identity Theft,Kerala,Amex,Yes Bank,0,44,Transportation,Hyderabad
21329759,Aradhya Saha,Lifestyle,2024-02-16,10960,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,1,87,Apparel,Ahmedabad
10260467,Manikya Halder,Big Bazaar,2024-11-28,22184,Low,Identity Theft,Karnataka,Amex,Kotak Bank,1,39,Groceries,Bangalore
33505820,Zara Chopra,Reliance Digital,2024-04-30,24174,High,Account Takeover,Karnataka,Amex,Kotak Bank,0,34,Transportation,Kochi
26209976,Mishti Tripathi,Amazon India,2024-02-04,7917,Critical,Identity Theft,Delhi,Amex,ICICI Bank,0,55,Apparel,Chennai
76975447,Aaryahi Vaidya,Amazon India,2024-05-01,10563,Low,Account Takeover,Rajasthan,Visa,Kotak Bank,0,39,Food Delivery,Hyderabad
64841897,Lagan Grover,Big Bazaar,2024-05-04,1654,Low,Identity Theft,Telangana,Visa,Yes Bank,0,17,Apparel,Hyderabad
31962281,Prisha Warrior,Uber,2024-03-03,24837,Low,Card Skimming,Rajasthan,Mastercard,SBI,0,13,Transportation,Bangalore
70845514,Ela Gara,Big Bazaar,2024-01-14,17654,Medium,Card Skimming,West Bengal,Amex,Axis Bank,0,49,Electronics,Chennai
15820659,Siya Khatri,Uber,2024-06-06,12378,Medium,Identity Theft,Rajasthan,Amex,Yes Bank,1,81,Groceries,Lucknow
28323079,Badal Ranganathan,Amazon India,2023-12-24,13552,Medium,Card Not Present,Karnataka,Rupay,Federal Bank,1,21,Apparel,Delhi
28074472,Manikya Balasubramanian,Tata Cliq,2024-05-18,19447,High,Identity Theft,Maharashtra,Mastercard,Kotak Bank,0,60,Groceries,Jaipur
67323481,Aaina Borra,Zomato,2024-06-18,7856,Low,Card Skimming,Uttar Pradesh,Mastercard,SBI,0,77,Electronics,Chennai
31110526,Prerak Tandon,Big Bazaar,2024-02-09,13146,Low,Card Not Present,Uttar Pradesh,Mastercard,ICICI Bank,1,28,Transportation,Ahmedabad
49552851,Anaya Krishna,Flipkart,2024-07-29,15039,Low,Phishing,Kerala,Rupay,Yes Bank,0,46,E-commerce,Jaipur
52543004,Kashvi Loyal,Big Bazaar,2024-09-24,10725,Low,Card Skimming,Uttar Pradesh,Rupay,Bank of Baroda,0,37,Transportation,Hyderabad
85124381,Saanvi Sem,Uber,2024-10-30,3216,Low,Phishing,Tamil Nadu,Rupay,Bank of Baroda,0,77,Transportation,Bangalore
42494131,Vanya Hayre,Uber,2024-04-02,14502,Medium,Card Not Present,Karnataka,Mastercard,Bank of Baroda,0,59,Electronics,Hyderabad
47972186,Miraya Thaman,Swiggy,2024-11-25,4168,Critical,Card Not Present,Rajasthan,Visa,ICICI Bank,0,39,Transportation,Chennai
78953912,Ahana  Wagle,Uber,2024-04-13,23256,High,Account Takeover,Uttar Pradesh,Amex,Bank of Baroda,0,29,Transportation,Delhi
10869922,Jayesh Toor,Lifestyle,2024-08-08,22616,Low,Account Takeover,Delhi,Mastercard,HDFC Bank,0,67,Transportation,Mumbai
12113217,Jayesh Balan,Zomato,2024-11-12,23656,Medium,Card Not Present,West Bengal,Visa,Federal Bank,0,45,Transportation,Chennai
39463165,Sara Master,Myntra,2024-07-27,11634,Medium,Card Skimming,Gujarat,Visa,Federal Bank,0,37,Groceries,Delhi
10510765,Siya Varkey,Amazon India,2024-04-21,4153,High,Account Takeover,Telangana,Amex,Axis Bank,0,19,Groceries,Chennai
63180732,Hiran Ghosh,Lifestyle,2024-08-08,14305,Low,Card Skimming,Telangana,Visa,Axis Bank,0,52,Transportation,Hyderabad
37948619,Shlok Chaudhuri,Flipkart,2023-12-19,6632,High,Identity Theft,Tamil Nadu,Visa,Federal Bank,1,11,Transportation,Mumbai
67851025,Aaryahi Deo,Flipkart,2024-03-10,1017,High,Card Skimming,Telangana,Amex,Kotak Bank,1,70,Food Delivery,Bangalore
19485119,Saanvi Chakraborty,Swiggy,2024-12-08,18342,Critical,Card Skimming,Rajasthan,Visa,Federal Bank,1,82,E-commerce,Mumbai
78596115,Alisha Das,Big Bazaar,2024-03-15,4089,Low,Identity Theft,Maharashtra,Rupay,Yes Bank,1,95,E-commerce,Chennai
97579806,Divit Bains,Myntra,2024-03-25,4161,Low,Card Skimming,Maharashtra,Mastercard,Kotak Bank,0,33,Transportation,Delhi
73506109,Adah Konda,Zomato,2024-04-05,5594,High,Card Skimming,Rajasthan,Visa,ICICI Bank,0,55,Groceries,Ahmedabad
13543144,Alia Rana,Swiggy,2024-05-19,7364,Low,Card Skimming,Tamil Nadu,Visa,HDFC Bank,0,88,Food Delivery,Chennai
79487668,Aniruddh Gala,Uber,2024-06-02,19463,High,Identity Theft,Delhi,Visa,Andhra Bank,0,28,Food Delivery,Kochi
27833354,Anvi Kakar,Zomato,2024-02-01,22622,Critical,Identity Theft,Gujarat,Amex,SBI,1,19,Apparel,Ahmedabad
61339463,Zain Grover,Lifestyle,2024-09-09,2026,Medium,Card Skimming,Telangana,Amex,Federal Bank,0,64,Groceries,Lucknow
72726544,Samar Brahmbhatt,Flipkart,2024-05-19,6900,High,Phishing,West Bengal,Rupay,Kotak Bank,0,91,Apparel,Delhi
33650131,Bhavin Sule,Lifestyle,2024-01-23,1239,Low,Card Skimming,Tamil Nadu,Mastercard,Federal Bank,0,42,Electronics,Jaipur
16505245,Sumer Bala,Flipkart,2024-10-11,1166,High,Card Not Present,Gujarat,Amex,Andhra Bank,1,74,Food Delivery,Ahmedabad
51331760,Heer Soni,Amazon India,2024-12-03,13248,Low,Account Takeover,Karnataka,Visa,Yes Bank,0,68,E-commerce,Ahmedabad
62791884,Jivin Hayer,Reliance Digital,2024-03-03,795,High,Phishing,Tamil Nadu,Amex,Bank of Baroda,0,95,Apparel,Jaipur
17071283,Samaira Hayre,Tata Cliq,2024-02-11,21466,Low,Card Not Present,Uttar Pradesh,Amex,Axis Bank,0,53,Electronics,Lucknow
57808916,Hunar Devan,Amazon India,2024-01-18,2963,Medium,Card Skimming,Maharashtra,Rupay,SBI,1,26,E-commerce,Hyderabad
72938283,Devansh Mani,Reliance Digital,2024-11-05,8416,Low,Phishing,Gujarat,Visa,HDFC Bank,0,69,Transportation,Kochi
92838292,Indranil Kara,Tata Cliq,2024-02-22,5973,High,Card Not Present,Tamil Nadu,Mastercard,Federal Bank,0,74,E-commerce,Lucknow
49919079,Jhanvi Solanki,Zomato,2024-05-31,10815,Medium,Card Not Present,Rajasthan,Rupay,Federal Bank,0,69,Food Delivery,Delhi
51546530,Charvi Kaur,Zomato,2024-12-10,15064,High,Account Takeover,Tamil Nadu,Amex,Yes Bank,1,81,Transportation,Kolkata
29629444,Anya Shere,Flipkart,2024-09-29,801,Low,Card Not Present,Maharashtra,Amex,Andhra Bank,1,42,Food Delivery,Ahmedabad
79096625,Ahana  Shroff,Myntra,2024-07-08,17208,Low,Card Not Present,Karnataka,Rupay,Federal Bank,0,63,Groceries,Lucknow
36102806,Nehmat Mall,Big Bazaar,2024-11-21,20075,Low,Card Not Present,Maharashtra,Mastercard,Axis Bank,0,40,Electronics,Kolkata
54066013,Inaaya  Sampath,Zomato,2024-07-08,6438,Low,Card Skimming,Maharashtra,Rupay,SBI,0,89,Electronics,Jaipur
57860400,Riya Dash,Uber,2024-11-27,5031,Medium,Card Not Present,Rajasthan,Rupay,HDFC Bank,1,10,Electronics,Jaipur
70040790,Tiya Viswanathan,Myntra,2024-09-19,252,Medium,Card Not Present,Gujarat,Mastercard,SBI,1,53,E-commerce,Bangalore
21982567,Nehmat Kar,Lifestyle,2023-12-19,14702,Low,Card Skimming,Telangana,Mastercard,Kotak Bank,0,88,Food Delivery,Jaipur
13291091,Dhanush Borde,Swiggy,2024-10-07,8567,Low,Identity Theft,Karnataka,Mastercard,Bank of Baroda,0,84,Transportation,Kochi
92630416,Inaaya  Kant,Lifestyle,2023-12-22,18546,Low,Card Not Present,Tamil Nadu,Mastercard,Axis Bank,0,20,E-commerce,Ahmedabad
85429387,Nitya Bera,Big Bazaar,2024-12-14,5015,High,Card Not Present,Kerala,Visa,HDFC Bank,1,26,Electronics,Mumbai
20976963,Shamik Bose,Swiggy,2024-02-23,13352,High,Account Takeover,Karnataka,Rupay,Federal Bank,0,83,Apparel,Lucknow
15961665,Aniruddh Reddy,Uber,2023-12-19,14020,Medium,Card Skimming,Kerala,Rupay,Axis Bank,0,86,Transportation,Ahmedabad
26896905,Nitara Chander,Myntra,2024-03-31,9453,High,Card Skimming,Tamil Nadu,Visa,Kotak Bank,0,15,Food Delivery,Bangalore
28606571,Suhana Deo,Zomato,2024-04-01,8565,Low,Identity Theft,Rajasthan,Rupay,Kotak Bank,1,17,E-commerce,Chennai
29713091,Veer Kant,Zomato,2024-08-01,5009,Medium,Account Takeover,Rajasthan,Visa,Yes Bank,0,22,Transportation,Hyderabad
19645801,Manikya Karpe,Big Bazaar,2024-10-03,6019,Low,Identity Theft,Telangana,Rupay,SBI,0,72,Food Delivery,Jaipur
70121811,Heer Bahl,Myntra,2024-11-07,20359,Low,Phishing,West Bengal,Visa,Andhra Bank,0,26,Food Delivery,Jaipur
95186326,Hazel Bawa,Zomato,2024-07-29,17599,Critical,Account Takeover,Maharashtra,Visa,SBI,1,30,Electronics,Jaipur
26524451,Lakshay Chandra,Amazon India,2024-05-09,3946,Medium,Card Not Present,Maharashtra,Rupay,Kotak Bank,0,91,E-commerce,Kochi
